He said : " I fear on this occasion what happened was those bits of the alphabet which supported the case were selected .	" I fear on this occasion what happened is that those bits of the alphabet that supported the case were selected , " he said .	Equivalent
The transaction will expand the revenue from Callebaut 's consumer products business to 45 percent of total sales from 23 percent .	The transaction will expand Callebaut 's sales revenues from its consumer products business to 45 percent from 23 percent .	Equivalent
Tenet has been under scrutiny since November , when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients .	In November , Jeffrey Brabakow , the chief executive at the time , said the company used aggressive pricing to get higher payments for the sickest Medicare patients .	NotEquivalent
Chi-Chi 's has agreed to keep the restaurant closed until Jan. 2 - two months after it voluntarily closed following initial reports of the disease .	Chi-Chi 's has agreed to keep the restaurant closed until Jan. 2 -- two months after it voluntarily closed when the disease was first reported .	Equivalent
When contacted last night , Perkins declined comment .	Perkins and Kansas Chancellor Robert Hemenway declined comment Sunday night .	NotEquivalent
A senior Malaysian member of JI testified in June that Bashir had approved the church bomb attacks and had called a meeting to plan Megawati 's assassination .	A senior Malaysian member of Jemaah Islamiah testified on June 26 that Bashir had approved the church bomb attacks and had also called a meeting to plan Megawati 's assassination .	Equivalent
Directed by Jonathan Lynn from a script by Elizabeth Hunter and Saladin K. Patterson .	Whole Nine Yards , " and written by first-time screenwriters Elizabeth Hunter and Saladin K. Patterson .	NotEquivalent
Shinseki retires Wednesday after a 38-year career that included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia .	Shinseki 's career included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia .	NotEquivalent
Government bonds sold off sharply after Greenspan told Congress on Tuesday that the U.S. economy " could very well be embarking on a period of extended growth " .	Greenspan told Congress on Tuesday the U.S. economy " could very well be embarking on a period of sustained growth " .	NotEquivalent
Predictions ranged from 16 cents a share to 27 cents a share , according to Thomson First Call .	Wall Street analysts had expected 22 cents a share , according to Thomson First Call .	Equivalent
None of Deans opponents picked him as someone to party with , nor was Dean asked that question .	None of Dean 's opponents picked him as someone to party with and Dean was not asked the question .	Equivalent
He was sentenced to five years in prison at at Kingston Crown Court yesterday after pleading guilty to the attempted abduction of a teenager .	Former postal worker , Douglas Lindsell , was sentenced yesterday at Kingston Crown Court after pleading guilty to attempting to abduct a young girl .	Equivalent
Against the dollar , the euro rose as high as $ 1.1535 -- a fresh four-year high -- in morning trade before standing at $ 1.1518 / 23 at 0215 GMT .	Against the dollar , the euro rose as high as $ 1.1537 , a fresh four-year high and up a half cent from around $ 1.1480 in late U.S. trade .	NotEquivalent
It will also unveil a version of its Windows Server 2003 operating system tuned specifically for storage devices .	It also unveiled an update to its Windows Server 2003 operating system , which is tuned specifically for storage devices .	Equivalent
Southwest 's net income amounted to $ 246 million , or 30 cents per share .	With the government grant added in , the airline earned $ 246 million , or 30 cents a share .	NotEquivalent
The two men were allegedly trying to engage Russian exiles in Britain in the assassination plot .	The informant alleged that the two arrested men were trying to engage Russian exiles in Britain in the conspiracy to kill Mr Putin .	Equivalent
The largest gains were seen in prices , new orders , inventories and exports .	Sub-indexes measuring prices , new orders , inventories and exports increased .	Equivalent
Mr. Stevens has also told his officers that information from British intelligence indicates there are more al Qaeda agents in Britain than previously thought .	Sir John has also told his officers that information from British intelligence indicates there are more al-Qa 'eda agents in Britain than previously thought .	Equivalent
On Thursday , authorities evacuated residents who live in the canyon and closed off the road leading there .	Authorities evacuated residents and closed off the road leading to Waterman Canyon .	Equivalent
